"";"Class";"SubClass";"Level";"Name";"Type";"Description"
"1";"assignment-data-structure";"assignment-data-structure";"h2";"available_at";"null or Date";"Timestamp when the related subject will be available in the user's review queue."
"2";"assignment-data-structure";"assignment-data-structure";"h2";"burned_at";"null or Date";"Timestamp when the user reaches SRS stage 9 the first time."
"3";"assignment-data-structure";"assignment-data-structure";"h2";"created_at";"Date";"Timestamp when the assignment was created."
"4";"assignment-data-structure";"assignment-data-structure";"h2";"hidden";"Boolean";"Indicates if the associated subject has been hidden, preventing it from appearing in lessons or reviews."
"5";"assignment-data-structure";"assignment-data-structure";"h2";"passed_at";"null or Date";"Timestamp when the user reaches SRS stage 5 for the first time."
"6";"assignment-data-structure";"assignment-data-structure";"h2";"resurrected_at";"null or Date";"Timestamp when the subject is resurrected and placed back in the user's review queue."
"7";"assignment-data-structure";"assignment-data-structure";"h2";"srs_stage";"Integer";"The current SRS stage interval. The interval range is determined by the related subject's spaced repetition system."
"8";"assignment-data-structure";"assignment-data-structure";"h2";"started_at";"null or Date";"Timestamp when the user completes the lesson for the related subject."
"9";"assignment-data-structure";"assignment-data-structure";"h2";"subject_id";"Integer";"Unique identifier of the associated subject."
"10";"assignment-data-structure";"assignment-data-structure";"h2";"subject_type";"String";"The type of the associated subject, one of: kanji, radical, or vocabulary."
"11";"assignment-data-structure";"assignment-data-structure";"h2";"unlocked_at";"null or Date";"The timestamp when the related subject has its prerequisites satisfied and is made available in lessons. Prerequisites are:The subject components have reached SRS stage 5 once (they have been “passed”).The user's level is equal to or greater than the level of the assignment’s subject."
"12";"level-progression-data-structure";"level-progression-data-structure";"h2";"abandoned_at";"null or Date";"Timestamp when the user abandons the level. This is primary used when the user initiates a reset."
"13";"level-progression-data-structure";"level-progression-data-structure";"h2";"completed_at";"null or Date";"Timestamp when the user burns 100% of the assignments belonging to the associated subject's level."
"14";"level-progression-data-structure";"level-progression-data-structure";"h2";"created_at";"Date";"Timestamp when the level progression is created"
"15";"level-progression-data-structure";"level-progression-data-structure";"h2";"level";"Integer";"The level of the progression, with possible values from 1 to 60."
"16";"level-progression-data-structure";"level-progression-data-structure";"h2";"passed_at";"null or Date";"Timestamp when the user passes at least 90% of the assignments with a type of kanji belonging to the associated subject's level."
"17";"level-progression-data-structure";"level-progression-data-structure";"h2";"started_at";"null or Date";"Timestamp when the user starts their first lesson of a subject belonging to the level."
"18";"level-progression-data-structure";"level-progression-data-structure";"h2";"unlocked_at";"null or Date";"Timestamp when the user can access lessons and reviews for the level."
